1242,18-15,to whisper
1243,18-16,to mumble
1244,18-17,to whistle
1245,18-18,to shriek
1246,18-19,to howl
1247,18-21,to speak or talk
1248,18-211,to stutter or stammer
1249,18-22,to say
1250,18-221,to tell
1251,18-222,the speech
1252,18-23,to be silent
1253,18-24,the language
1254,18-26,the word
1255,18-28,the name
1256,18-31,to ask(1)
1257,18-32,to answer
1258,18-33,to admit
1259,18-34,to deny
1260,18-35,to ask(2)
1261,18-36,to promise
1262,18-37,to refuse
1263,18-38,to forbid
1264,18-39,to scold
1265,18-41,to call(1)
1266,18-42,to call(2)
1267,18-43,to announce
1268,18-44,to threaten
1269,18-45,to boast
1270,18-51,to write
1271,18-52,to read
1272,18-56,the paper
1273,18-57,the pen
1274,18-61,the book
1275,18-67,the poet
1276,18-71,the flute
1277,18-72,the drum
1278,18-73,the horn or trumpet
1279,18-74,the rattle
1280,h19,Social and political relations
1281,19-11,the country
1282,19-12,the native country
1283,19-15,the town
1284,19-16,the village
1285,19-17,the boundary
1286,19-21,the people
1287,19-23,the clan
1288,19-24,the chieftain
1289,19-25,the walking stick
1290,19-31,to rule or govern
1291,19-32,the king
1292,19-33,the queen
1293,19-36,the noble
1294,19-37,the citizen
1295,19-41,the master
